0.89, 0.47, 0.35, 0.16, 512
0.82, 0.29, 0.6, 0.14, 1024
0.08, 0.66, 0.51, 0.13, 256
0.2, 0.98, 0.64, 0.8, 512
0.32, 0.6, 0.69, 0.12, 1024
0.92, 0.37, 0.72, 0.02, 1024
0.18, 0.31, 0.45, 0.18, 512
0.57, 0.72, 0.18, 0.57, 512
0.35, 0.93, 0.14, 0.48, 512
0.92, 0.45, 0.92, 0.77, 512
0.39, 0.78, 0.63, 0.26, 1024
0.81, 0.77, 0.45, 0.19, 512
0.62, 0.91, 0.79, 0.84, 256
0.09, 0.45, 0.04, 0.95, 1024
0.61, 0.61, 0.64, 0.37, 128
0.67, 0.22, 0.7, 0.21, 512
0.81, 0.91, 0.04, 0.02, 1024
0.63, 0.72, 0.51, 0.4, 512
0.55, 0.46, 0.01, 0.63, 512
0.13, 0.55, 0.78, 0.08, 1024
0.68, 0.59, 0.05, 0.56, 512
0.7, 0.07, 0.92, 0.23, 256
0.04, 0.36, 0.29, 0.85, 512
0.43, 0.04, 0.09, 0.47, 128
0.99, 0.02, 0.64, 0.44, 512
0.62, 0.54, 0.08, 0.27, 256
0.93, 0.35, 0.23, 0.87, 512
0.51, 0.98, 0.32, 0.12, 512
0.3, 0.35, 0.13, 0.73, 512
0.98, 0.39, 0.87, 0.51, 1024
0.6, 0.88, 0.01, 0.77, 1024
0.95, 0.84, 0.29, 0.34, 512
0.2, 0.11, 0.61, 0.88, 512
0.15, 0.09, 0.19, 0.24, 512
0.14, 0.45, 0.06, 0.55, 512
0.66, 0.67, 0.88, 0.08, 1024
0.62, 0.9, 0.45, 1.0, 1024
0.75, 0.99, 0.34, 0.72, 512
0.04, 0.42, 0.33, 0.69, 512
0.15, 0.53, 0.16, 0.83, 512
0.04, 0.1, 0.85, 0.96, 512
0.83, 0.95, 0.91, 0.44, 512
0.81, 0.61, 0.33, 0.65, 256
0.38, 0.23, 0.89, 0.59, 256
0.3, 0.49, 0.86, 0.93, 256
0.53, 0.1, 0.89, 0.72, 256
0.64, 0.96, 0.35, 0.45, 512
0.52, 0.69, 0.35, 0.83, 512
0.26, 0.17, 0.49, 512
0.35, 0.57, 0.95, 0.26, 512
0.93, 0.25, 0.77, 0.47, 1024
0.4, 0.41, 0.41, 0.03, 256
0.18, 0.98, 0.09, 0.15, 1024
0.04, 0.71, 0.52, 0.29, 512
0.56, 0.52, 0.85, 0.88, 512
0.07, 0.32, 0.17, 0.26, 256
0.46, 0.25, 1.0, 0.2, 256
0.84, 0.7, 0.14, 0.47, 512
0.33, 0.63, 0.47, 0.26, 512
0.77, 0.22, 0.47, 0.61, 512
0.14, 0.58, 0.73, 0.72, 512
0.89, 0.66, 0.9, 0.5, 1024
0.88, 0.23, 0.26, 0.55, 512
0.51, 0.79, 0.12, 0.75, 1024
0.38, 0.28, 0.02, 0.23, 1024
0.52, 0.85, 0.76, 0.42, 1024
0.24, 0.17, 0.65, 0.29, 1024
0.49, 0.84, 0.33, 0.17, 256
0.82, 0.66, 0.25, 0.1, 1024
0.25, 0.9, 0.09, 0.16, 512
0.18, 0.84, 0.9, 0.16, 1024
0.4, 0.35, 0.34, 0.69, 512
0.66, 0.66, 0.69, 0.79, 512
0.88, 0.95, 0.48, 0.19, 512
0.42, 0.6, 0.77, 0.79, 1024
0.92, 0.91, 0.38, 0.14, 256
0.29, 0.52, 0.45, 0.81, 1024
0.76, 0.12, 0.77, 0.93, 512
0.78, 0.22, 0.16, 0.95, 1024
0.95, 0.12, 0.41, 0.56, 512
0.56, 0.39, 0.75, 0.72, 512
0.92, 0.18, 0.03, 0.65, 512
0.39, 0.21, 0.26, 0.8, 512
0.4, 0.74, 0.24, 0.7, 
